config,kappa,com_ratio,mu,rank,freq,hip_phi,leg_amp,hip_amp,hip_off,survived,net_fwd_speed,n_samples,e_pos_J,e_abs_J,d_fwd_m,cot_pos,single_frac_t,double_frac_t,air_frac_t,roll_mean_deg,roll_rms_deg,pitch_mean_deg,pitch_rms_deg,yaw_mean_deg,yaw_rms_deg,com_x_rms_mm,com_y_rms_mm,com_z_mean_mm,com_z_rms_mm,r_roll_com_x,r_roll_com_y,r_roll_com_z,r_roll_pitch,r_roll_yaw
c1,0.0,1.05,0.7,5,1.74,320.0,85.0,28.0,20.0,1,0.1503,1445,71.534,90.775,1.9538,1.642,0.8678,0.1128,0.0194,-0.577,13.804,-6.385,10.008,18.714,24.277,11.88,5.91,97.41,97.46,-0.9709,-0.5317,-0.0661,-0.8984,-0.6379
c1,0.0,1.05,0.7,6,1.94,340.0,125.0,24.0,50.0,1,0.1005,1445,187.48,291.634,1.3066,6.437,0.8187,0.0042,0.1772,1.705,18.527,-9.267,11.583,62.635,71.083,10.88,18.63,88.14,88.2,-0.7709,-0.2854,-0.0383,-0.8243,-0.3113
c1,0.0,1.05,0.7,7,1.74,250.0,105.0,28.0,30.0,1,0.1506,1445,84.712,120.802,1.9573,1.942,0.6173,0.3792,0.0035,-1.147,8.084,-4.294,8.157,17.708,25.742,6.65,6.52,96.8,96.87,-0.9323,-0.6857,-0.1591,-0.425,-0.3114
c1,0.0,1.05,0.7,8,1.82,280.0,85.0,28.0,20.0,1,0.1216,1445,72.059,96.598,1.5813,2.044,0.7882,0.2035,0.0083,-0.835,10.782,-5.169,10.489,36.273,44.273,9.49,8.79,97.72,97.78,-0.9581,-0.081,-0.1624,-0.7479,-0.3859
c1,0.0,1.05,0.7,9,1.67,320.0,85.0,28.0,10.0,1,-0.0043,1445,64.087,76.227,-0.0561,,0.9827,0.0062,0.0111,0.541,14.881,-5.658,9.973,-83.619,84.155,14.54,5.65,100.62,100.67,-0.9876,-0.3228,-0.0806,-0.8592,-0.6857
c1,0.0,1.05,0.7,10,1.81,280.0,85.0,28.0,20.0,1,0.1476,1445,71.42,95.542,1.9186,1.67,0.7827,0.209,0.0083,-1.172,10.693,-5.057,9.974,25.435,32.786,9.39,8.93,97.75,97.81,-0.9576,-0.2125,-0.1249,-0.707,-0.4735
c1,0.0,1.05,0.7,11,1.73,250.0,105.0,28.0,30.0,1,0.1513,1445,83.573,119.083,1.9674,1.906,0.6173,0.3813,0.0014,-1.045,8.024,-4.389,8.195,16.912,24.368,6.59,6.64,96.8,96.87,-0.9312,-0.719,-0.1542,-0.419,-0.3237
c1,0.0,1.05,0.7,12,1.85,340.0,85.0,24.0,30.0,1,0.1468,1445,80.084,100.996,1.9081,1.883,0.9647,0.0097,0.0256,-0.064,15.308,-7.193,9.625,6.701,12.833,11.03,10.02,93.56,93.59,-0.9523,-0.3936,-0.0416,-0.926,-0.5399
c1,0.0,1.05,0.7,13,1.78,250.0,105.0,28.0,30.0,1,0.1528,1445,88.216,127.132,1.9858,1.993,0.6242,0.3737,0.0021,-1.123,8.039,-4.187,8.065,16.46,25.351,6.66,6.39,96.85,96.92,-0.9321,-0.5597,-0.1698,-0.4394,-0.2542
c1,0.0,1.05,0.7,14,1.8,280.0,85.0,28.0,20.0,1,0.1468,1445,70.514,93.56,1.9087,1.657,0.7606,0.2242,0.0152,-1.174,10.427,-4.743,9.538,32.04,38.314,9.19,8.08,97.85,97.91,-0.9591,-0.3402,-0.1149,-0.6838,-0.4719
c1,0.0,1.05,0.7,15,1.72,300.0,85.0,28.0,20.0,1,0.0181,1445,69.702,89.338,0.2358,13.258,0.8734,0.117,0.0097,-0.452,14.23,-7.399,11.715,-58.087,93.919,12.05,9.78,97.01,97.08,-0.9651,-0.1283,-0.1305,-0.8266,0.0341
c1,0.0,1.05,0.7,16,1.57,260.0,105.0,28.0,20.0,1,0.138,1445,66.792,89.761,1.7937,1.67,0.6235,0.3758,0.0007,-0.886,8.957,-2.583,8.494,9.042,17.447,8.83,7.45,100.81,100.88,-0.9686,-0.3379,-0.1395,-0.366,-0.4323
c1,0.0,1.05,0.7,17,1.69,250.0,105.0,28.0,30.0,1,0.1489,1445,79.682,112.348,1.9362,1.846,0.6076,0.3924,0.0,-1.119,7.984,-4.037,8.099,18.976,25.552,6.57,6.42,96.83,96.9,-0.9329,-0.7545,-0.1363,-0.3859,-0.3465
c1,0.0,1.05,0.7,18,1.76,250.0,105.0,28.0,30.0,1,0.1505,1445,86.152,123.65,1.9568,1.975,0.6235,0.373,0.0035,-1.188,8.05,-4.031,7.987,23.16,31.317,6.67,6.32,96.86,96.92,-0.9325,-0.617,-0.1525,-0.4189,-0.2405
c1,0.0,1.05,0.7,19,1.73,320.0,85.0,28.0,20.0,1,0.1427,1445,70.022,90.398,1.8555,1.693,0.8097,0.1702,0.0201,-0.762,12.747,-5.976,9.599,16.104,24.697,11.17,5.18,97.64,97.67,-0.9669,-0.617,-0.1044,-0.9169,-0.6739
c1,0.0,1.05,0.7,20,1.78,280.0,85.0,28.0,20.0,1,0.1335,1445,68.847,91.594,1.7357,1.779,0.7612,0.2353,0.0035,-1.103,10.315,-5.015,9.605,27.777,37.894,9.09,8.4,97.87,97.92,-0.9575,-0.2719,-0.1128,-0.7009,-0.4071
c2,0.0,1.2,0.1,1,1.98,270.0,125.0,24.0,40.0,1,0.1741,1445,146.026,232.816,2.263,2.895,0.2851,0.71,0.0048,-0.551,11.108,-6.325,8.884,10.851,13.393,6.36,34.15,110.89,110.96,-0.2662,-0.7099,0.062,-0.0026,-0.6694
c2,0.0,1.2,0.1,2,1.98,280.0,125.0,24.0,40.0,1,0.1757,1445,145.787,231.992,2.2839,2.863,0.263,0.7322,0.0048,-0.464,12.021,-6.444,8.93,10.772,13.86,6.88,34.07,110.82,110.89,-0.2633,-0.5242,-0.0504,-0.2554,-0.7131
c2,0.0,1.2,0.1,3,1.97,280.0,125.0,24.0,40.0,1,0.1752,1445,144.018,228.736,2.2772,2.837,0.2512,0.7405,0.0083,-0.576,12.042,-6.401,8.903,10.867,13.912,6.86,34.11,110.87,110.94,-0.2704,-0.5277,-0.0443,-0.2475,-0.7121
